BTCUSDT: stepsize=1e-05, ticksize=0.01
ETHUSDT: stepsize=0.0001, ticksize=0.01
ZRXBTC: stepsize=1.0, ticksize=1e-08
KNCBTC: stepsize=0.1, ticksize=1e-08
MTLBTC: stepsize=0.1, ticksize=1e-08
ZECBTC: stepsize=0.001, ticksize=1e-07
DASHBTC: stepsize=0.001, ticksize=1e-07
REQBTC: stepsize=1.0, ticksize=1e-08
POWRBTC: stepsize=1.0, ticksize=1e-08
BNBUSDT: stepsize=0.001, ticksize=0.01
KMDBTC: stepsize=1.0, ticksize=1e-08
BATBTC: stepsize=1.0, ticksize=1e-08
NEOUSDT: stepsize=0.01, ticksize=0.01
LSKBTC: stepsize=0.1, ticksize=1e-08
ADXBTC: stepsize=1.0, ticksize=1e-08
LTCUSDT: stepsize=0.001, ticksize=0.01
ICXBTC: stepsize=1.0, ticksize=1e-08
RLCBTC: stepsize=0.1, ticksize=1e-08
PIVXBTC: stepsize=1.0, ticksize=1e-08
QTUMUSDT: stepsize=0.1, ticksize=0.001
WANBTC: stepsize=1.0, ticksize=1e-08
SYSBTC: stepsize=1.0, ticksize=1e-08
ADAUSDT: stepsize=0.1, ticksize=0.0001
XRPUSDT: stepsize=0.1, ticksize=0.0001
EOSUSDT: stepsize=0.1, ticksize=0.0001
IOTAUSDT: stepsize=1.0, ticksize=0.0001
XLMUSDT: stepsize=1.0, ticksize=0.0001
IOTXBTC: stepsize=1.0, ticksize=1e-08
DATABTC: stepsize=1.0, ticksize=1e-08
ONTUSDT: stepsize=1.0, ticksize=0.0001
TRXUSDT: stepsize=0.1, ticksize=0.0001
ETCUSDT: stepsize=0.01, ticksize=0.01
ICXUSDT: stepsize=0.1, ticksize=0.0001
ARDRBTC: stepsize=1.0, ticksize=1e-08
VETUSDT: stepsize=0.1, ticksize=1e-05
BNBUSDC: stepsize=0.001, ticksize=0.01
BTCUSDC: stepsize=1e-05, ticksize=0.01
ETHUSDC: stepsize=0.0001, ticksize=0.01
XRPUSDC: stepsize=0.1, ticksize=0.0001
EOSUSDC: stepsize=0.1, ticksize=0.0001
XLMUSDC: stepsize=1.0, ticksize=0.0001
LINKUSDT: stepsize=0.01, ticksize=0.01
LINKUSDC: stepsize=0.01, ticksize=0.01
LTCUSDC: stepsize=0.001, ticksize=0.01
TRXUSDC: stepsize=0.1, ticksize=0.0001
ONGBTC: stepsize=1.0, ticksize=1e-08
ONGUSDT: stepsize=1.0, ticksize=0.0001
HOTUSDT: stepsize=1.0, ticksize=1e-06
ZILUSDT: stepsize=0.1, ticksize=1e-05
ZRXUSDT: stepsize=1.0, ticksize=0.0001
FETUSDT: stepsize=0.1, ticksize=0.001
BATUSDT: stepsize=1.0, ticksize=0.0001
ZECUSDT: stepsize=0.001, ticksize=0.01
ADAUSDC: stepsize=0.1, ticksize=0.0001
NEOUSDC: stepsize=0.01, ticksize=0.01
DASHUSDT: stepsize=0.001, ticksize=0.01
THETAUSDT: stepsize=0.1, ticksize=0.001
ENJUSDT: stepsize=0.1, ticksize=0.0001
ATOMUSDT: stepsize=0.01, ticksize=0.001
ATOMUSDC: stepsize=0.01, ticksize=0.001
TFUELBTC: stepsize=1.0, ticksize=1e-08
TFUELUSDT: stepsize=1.0, ticksize=1e-05
ONEUSDT: stepsize=0.1, ticksize=1e-05
ALGOUSDT: stepsize=1.0, ticksize=0.0001
ALGOUSDC: stepsize=1.0, ticksize=0.0001
DOGEUSDT: stepsize=1.0, ticksize=1e-05
DOGEUSDC: stepsize=1.0, ticksize=1e-05
DUSKBTC: stepsize=1.0, ticksize=1e-08
DUSKUSDT: stepsize=1.0, ticksize=0.0001
ANKRUSDT: stepsize=0.1, ticksize=1e-05
ONTUSDC: stepsize=1.0, ticksize=0.0001
COSUSDT: stepsize=0.1, ticksize=1e-06
MTLUSDT: stepsize=0.1, ticksize=0.001
DENTUSDT: stepsize=1.0, ticksize=1e-06
WANUSDT: stepsize=1.0, ticksize=0.0001
CVCUSDT: stepsize=1.0, ticksize=0.0001
CHZUSDT: stepsize=1.0, ticksize=1e-05
BANDBTC: stepsize=0.1, ticksize=1e-08
BANDUSDT: stepsize=0.1, ticksize=0.001
XTZUSDT: stepsize=0.1, ticksize=0.0001
RVNUSDT: stepsize=0.1, ticksize=1e-05
