Start Date : 2025-01-12 23:25:42.135761 | End Date : 2025-01-12 23:34:18.907011 | Cash : 20.159972633000017 | Assets_value : 179.23108100000002 | Portfolio_change : -0.30%
Start Date : 2025-01-13 23:37:06.642236 | End Date : 2025-01-13 23:45:42.668051 | Cash : 199.75366062 | Assets_value : 0.06430999999999863 | Portfolio_change : -0.09%
Start Date : 2025-01-15 14:29:19.993927 | End Date : 2025-01-15 14:38:12.356435 | Cash : 21.219039642000002 | Assets_value : 181.35729899999998 | Portfolio_change : 1.29%
Start Date : 2025-01-15 16:40:34.818764 | End Date : 2025-01-15 16:53:13.594264 | Cash : 194.5199254 | Assets_value : 5.4684 | Portfolio_change : -0.01%
Start Date : 2025-01-15 17:03:33.905230 | End Date : 2025-01-15 17:23:05.592851 | Cash : 194.49825375 | Assets_value : 5.485 | Portfolio_change : -0.01%
Start Date : 2025-01-15 17:28:10.184141 | End Date : 2025-01-15 17:35:04.237730 | Cash : 200 | Assets_value : 5.5016 | Portfolio_change : 2.75%
Start Date : 2025-01-15 17:28:10.184141 | End Date : 2025-01-15 17:41:02.078859 | Cash : 194.495501 | Assets_value : 5.5094 | Portfolio_change : 0.00%
Start Date : 2025-01-15 17:47:30.422945 | End Date : 2025-01-15 17:52:57.876741 | Cash : 128.79328642200005 | Assets_value : 71.02085 | Portfolio_change : -0.09%
Start Date : 2025-01-15 17:57:13.327125 | End Date : 2025-01-15 18:02:41.683642 | Cash : 200 | Assets_value : 0 | Portfolio_change : 0.00%
Start Date : 2025-01-15 18:04:20.480473 | End Date : 2025-01-15 18:09:48.097974 | Cash : 200 | Assets_value : 0 | Portfolio_change : 0.00%
Start Date : 2025-01-15 18:13:25.709614 | End Date : 2025-01-15 18:18:53.295406 | Cash : 200 | Assets_value : 0 | Portfolio_change : 0.00%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-17 22:30:11.592273 | Cash : 490.07183175 | Assets_value : 9.90855 | Portfolio_change : -0.00%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-17 22:35:23.075218 | Cash : 490.07183175 | Assets_value : 9.894 | Portfolio_change : -0.01%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-17 22:40:34.554177 | Cash : 490.07183175 | Assets_value : 9.876539999999999 | Portfolio_change : -0.01%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-17 22:45:46.202222 | Cash : 490.07183175 | Assets_value : 9.89206 | Portfolio_change : -0.01%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-17 22:50:57.811298 | Cash : 490.07183175 | Assets_value : 9.900789999999999 | Portfolio_change : -0.01%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-17 22:56:09.296533 | Cash : 490.07183175 | Assets_value : 9.89594 | Portfolio_change : -0.01%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-17 23:01:20.775747 | Cash : 490.07183175 | Assets_value : 9.90273 | Portfolio_change : -0.01%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-17 23:06:32.243675 | Cash : 490.07183175 | Assets_value : 9.9231 | Portfolio_change : -0.00%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-17 23:11:43.669147 | Cash : 490.07183175 | Assets_value : 9.93474 | Portfolio_change : 0.00%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-17 23:16:55.149119 | Cash : 480.08321311 | Assets_value : 20.04667 | Portfolio_change : 0.03%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-17 23:22:06.571027 | Cash : 480.08321311 | Assets_value : 20.126459999999998 | Portfolio_change : 0.04%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-17 23:27:18.023203 | Cash : 480.08321311 | Assets_value : 20.12376 | Portfolio_change : 0.04%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-17 23:32:29.512683 | Cash : 470.074953849 | Assets_value : 30.482654000000004 | Portfolio_change : 0.11%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-17 23:37:40.941449 | Cash : 460.003995689 | Assets_value : 40.312865 | Portfolio_change : 0.06%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-17 23:42:52.519986 | Cash : 460.003995689 | Assets_value : 40.335059 | Portfolio_change : 0.07%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-17 23:48:03.946199 | Cash : 400.346738029 | Assets_value : 100.152512 | Portfolio_change : 0.10%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-17 23:53:15.403810 | Cash : 400.346738029 | Assets_value : 100.101012 | Portfolio_change : 0.09%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-17 23:58:26.838017 | Cash : 400.346738029 | Assets_value : 100.10107200000002 | Portfolio_change : 0.09%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 00:03:38.344363 | Cash : 390.434936129 | Assets_value : 109.741388 | Portfolio_change : 0.04%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 00:08:49.825622 | Cash : 390.434936129 | Assets_value : 109.603453 | Portfolio_change : 0.01%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 00:14:01.280360 | Cash : 390.434936129 | Assets_value : 109.796976 | Portfolio_change : 0.05%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 00:19:12.762313 | Cash : 390.434936129 | Assets_value : 109.788152 | Portfolio_change : 0.04%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 00:24:24.225345 | Cash : 390.434936129 | Assets_value : 110.15658400000001 | Portfolio_change : 0.12%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 00:29:35.668477 | Cash : 390.434936129 | Assets_value : 110.106557 | Portfolio_change : 0.11%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 00:34:47.140641 | Cash : 390.434936129 | Assets_value : 109.970416 | Portfolio_change : 0.08%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 00:39:58.536193 | Cash : 390.434936129 | Assets_value : 110.060281 | Portfolio_change : 0.10%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 00:45:10.017619 | Cash : 390.434936129 | Assets_value : 110.146413 | Portfolio_change : 0.12%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 00:50:21.486131 | Cash : 390.434936129 | Assets_value : 110.11903 | Portfolio_change : 0.11%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 00:55:32.860917 | Cash : 390.434936129 | Assets_value : 109.99586000000001 | Portfolio_change : 0.09%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 01:00:44.328211 | Cash : 390.434936129 | Assets_value : 109.950499 | Portfolio_change : 0.08%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 01:05:55.773676 | Cash : 390.434936129 | Assets_value : 110.122392 | Portfolio_change : 0.11%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 01:11:07.286103 | Cash : 390.434936129 | Assets_value : 109.879077 | Portfolio_change : 0.06%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 01:16:18.754111 | Cash : 390.434936129 | Assets_value : 109.865914 | Portfolio_change : 0.06%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 01:21:30.253856 | Cash : 390.434936129 | Assets_value : 110.10967300000002 | Portfolio_change : 0.11%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 01:26:41.739546 | Cash : 390.434936129 | Assets_value : 110.52785200000001 | Portfolio_change : 0.19%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 01:31:53.182967 | Cash : 390.434936129 | Assets_value : 110.365253 | Portfolio_change : 0.16%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 01:37:04.672895 | Cash : 390.434936129 | Assets_value : 109.92716 | Portfolio_change : 0.07%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 01:42:16.153501 | Cash : 390.434936129 | Assets_value : 110.32266100000001 | Portfolio_change : 0.15%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 01:47:27.608452 | Cash : 390.434936129 | Assets_value : 110.26182800000001 | Portfolio_change : 0.14%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 01:52:39.048802 | Cash : 390.434936129 | Assets_value : 110.166767 | Portfolio_change : 0.12%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 01:57:50.604292 | Cash : 390.434936129 | Assets_value : 110.171944 | Portfolio_change : 0.12%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 02:03:02.162808 | Cash : 390.434936129 | Assets_value : 109.97893499999998 | Portfolio_change : 0.08%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 02:08:13.608551 | Cash : 390.434936129 | Assets_value : 109.644452 | Portfolio_change : 0.02%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 02:13:25.035735 | Cash : 390.434936129 | Assets_value : 109.743773 | Portfolio_change : 0.04%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 02:18:36.634840 | Cash : 390.434936129 | Assets_value : 109.369023 | Portfolio_change : -0.04%
